,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
66,2009-09-28,494.840861,501.500874,493.300836,498.530855,3692300,249.016411,0.739726027397,497.400855,8.200038
67,2009-09-25,494.290833,499.930861,492.000844,492.480848,4114400,245.99443,0.731506849315,495.9658525,7.930017
68,2009-09-24,500.470873,501.410847,493.000857,496.770862,5074000,248.137294,0.728767123288,497.205852,8.40999
69,2009-09-23,500.780869,507.000884,497.710867,498.460861,5428600,248.981449,0.72602739726,502.3558755,9.290017
70,2009-09-22,500.920857,501.990864,497.81085,499.06085,6105100,249.281144,0.723287671233,499.900857,4.180014
71,2009-09-21,487.740849,498.900859,486.220827,497.000847,4248600,248.252171,0.720547945205,492.560843,12.680032
72,2009-09-18,496.770862,496.980845,491.230847,491.460832,6591500,245.484931,0.712328767123,494.105846,5.749998
73,2009-09-17,490.57085,497.370851,487.150846,491.720837,8999700,245.614804,0.709589041096,492.2608485,10.220005
74,2009-09-16,479.800816,489.37084,478.480821,488.290847,5189900,243.901522,0.706849315068,483.9258305,10.890019
75,2009-09-15,475.08082,478.910833,472.710821,477.540816,4814000,238.531876,0.704109589041,475.810827,6.200012
76,2009-09-14,470.510799,476.800808,470.050798,475.120826,3966100,237.32309,0.701369863014,473.425803,6.75001
77,2009-09-11,470.400799,473.300824,467.630807,472.14082,3820000,235.834576,0.693150684931,470.4658155,5.670017
78,2009-09-10,466.650797,470.940811,462.000795,470.940811,5088100,235.23517,0.690410958904,466.470803,8.940016
79,2009-09-09,459.060796,466.270807,458.800791,463.970802,4407100,231.753647,0.687671232877,462.535799,7.470016
80,2009-09-08,464.290784,466.990812,455.840788,458.620797,5333300,229.081317,0.684931506849,461.4158,11.150024
81,2009-09-04,457.570793,462.600785,455.78078,461.300792,3009500,230.419976,0.67397260274,459.1907825,6.820005
82,2009-09-03,455.820786,458.250793,455.000767,457.520771,3304600,228.531854,0.671232876712,456.62578,3.250026
83,2009-09-02,455.820786,458.330773,452.590762,453.010788,3623100,226.279115,0.668493150685,455.4607675,5.740011
84,2009-09-01,459.680788,466.820805,454.42078,455.760778,5209100,227.652736,0.665753424658,460.6207925,12.400025
85,2009-08-31,459.790787,461.860807,458.000775,461.670797,3930400,230.604794,0.66301369863,459.930791,3.860032
86,2009-08-28,469.260798,472.370806,463.380798,464.750785,3556400,232.143249,0.654794520548,467.875802,8.990008
87,2009-08-27,468.580798,468.580798,460.730792,466.060794,4012600,232.797599,0.652054794521,464.655795,7.850006
88,2009-08-26,472.760812,473.000814,466.700788,468.000811,3990400,233.766639,0.649315068493,469.850801,6.300026
89,2009-08-25,469.130796,474.350829,468.720817,471.370823,4699400,235.449962,0.646575342466,471.535823,5.630012
90,2009-08-24,467.3508,470.090803,464.420786,468.730803,4925100,234.13127,0.643835616438,467.2557945,5.670017
91,2009-08-21,465.540784,466.090813,462.650807,465.240805,7147600,232.388015,0.635616438356,464.37081,3.440006
92,2009-08-20,452.000789,462.180789,451.230762,460.410779,8027600,229.975414,0.632876712329,456.7057755,10.950027
93,2009-08-19,439.990741,445.000761,438.560746,443.970759,4526800,221.763616,0.630136986301,441.7807535,6.440015
94,2009-08-18,445.100774,447.700758,442.320765,445.280768,4719800,222.417966,0.627397260274,445.0107615,5.379993
95,2009-08-17,451.500783,451.990773,443.120751,444.890761,5260000,222.223157,0.624657534247,447.555762,8.870022
96,2009-08-14,462.780778,463.180802,456.890793,460.0008,3362700,229.770629,0.616438356164,460.0357975,6.290009
97,2009-08-13,462.1508,464.720796,458.910791,462.280803,4005200,230.909492,0.613698630137,461.8157935,5.810005
98,2009-08-12,455.410776,461.750777,454.920786,458.580792,4700200,229.061335,0.61095890411,458.3357815,6.829991
99,2009-08-11,453.670786,457.230777,452.380779,453.940776,3437800,226.743644,0.608219178082,454.805778,4.849998
100,2009-08-10,455.140786,458.410784,453.790771,456.610785,3496900,228.077315,0.605479452055,456.1007775,4.620013
101,2009-08-07,455.670781,459.420783,454.990781,457.100775,5105100,228.322066,0.597260273973,457.205782,4.430002
102,2009-08-06,454.300764,454.880781,448.530764,450.360782,4237600,224.955435,0.594520547945,451.7057725,6.350017
103,2009-08-05,456.000779,456.910795,447.880783,451.140765,4701400,225.345037,0.591780821918,452.395789,9.030012
104,2009-08-04,449.370785,454.000784,448.430781,453.730763,4797400,226.638743,0.58904109589,451.2157825,5.570003
105,2009-08-03,448.740777,453.900771,447.640781,452.210772,5199900,225.879506,0.586301369863,450.770776,6.25999
106,2009-07-31,449.980761,452.700762,442.430765,443.050757,5742200,221.304074,0.578082191781,447.5657635,10.269997
107,2009-07-30,442.610759,451.470763,442.610759,445.640755,6421000,222.59778,0.575342465753,447.040761,8.860004
108,2009-07-29,437.230735,437.800766,431.890747,436.240739,3988800,217.902467,0.572602739726,434.8457565,5.910019
109,2009-07-28,441.00077,442.810755,436.10075,439.850752,5083900,219.705671,0.569863013699,439.4557525,6.710005
110,2009-07-27,446.040779,446.750768,437.610756,444.800764,5027500,222.178204,0.567123287671,442.180762,9.140012
111,2009-07-24,435.810757,450.490784,435.000754,446.720779,7280900,223.137252,0.558904109589,442.745769,15.49003
112,2009-07-23,428.680726,441.210753,425.500724,437.340765,6982400,218.451931,0.556164383562,433.3557385,15.710029
113,2009-07-22,428.000726,430.200748,423.500729,427.69073,5192700,213.631733,0.553424657534,426.8507385,6.700019
114,2009-07-21,430.940725,431.900733,425.720723,427.900743,5958600,213.736635,0.550684931507,428.810728,6.18001
115,2009-07-20,429.880735,432.850754,426.250718,430.170728,6330600,214.870494,0.547945205479,429.550736,6.600036
116,2009-07-17,433.000729,435.480758,426.700733,430.250739,13759500,214.910459,0.539726027397,431.0907455,8.780025
117,2009-07-16,436.680737,445.750755,434.100755,442.600773,13158100,221.079307,0.53698630137,439.925755,11.65
118,2009-07-15,429.660736,438.680763,428.490746,438.170739,7582200,218.866503,0.534246575342,433.5857545,10.190017
119,2009-07-14,423.710712,426.730722,420.870725,424.690722,5813200,212.133228,0.531506849315,423.8007235,5.859997
120,2009-07-13,416.170702,424.520714,415.180705,424.300715,8121600,211.938419,0.528767123288,419.8507095,9.340009
121,2009-07-10,409.580713,417.370711,408.700686,414.400722,5875000,206.993368,0.520547945205,413.0356985,8.670025
122,2009-07-09,406.120704,414.450714,405.800691,410.390715,6575700,204.990367,0.517808219178,410.1257025,8.650023
123,2009-07-08,400.000672,406.000688,398.060685,402.490687,6908100,201.044299,0.515068493151,402.0306865,7.940003
124,2009-07-07,408.240685,409.190706,395.980679,396.63069,6543000,198.117228,0.512328767123,402.5856925,13.210027
125,2009-07-06,406.500694,410.640703,401.660682,409.610702,4542100,204.60075,0.509589041096,406.1506925,8.980021
126,2009-07-02,415.410721,415.410721,406.81069,408.490703,5054000,204.04131,0.498630136986,411.1107055,8.600031
127,2009-07-01,424.200732,426.400723,418.150725,418.990716,4638900,209.286072,0.495890410959,422.275724,8.249998
128,2009-06-30,424.000735,427.210726,418.220719,421.590731,5207100,210.584781,0.493150684932,422.7157225,8.990007
129,2009-06-29,426.000731,427.800729,422.240712,424.140724,4354800,211.858503,0.490410958904,425.0207205,5.560017
130,2009-06-26,413.680717,428.230741,413.110716,425.32073,6537800,212.447917,0.482191780822,420.6707285,15.120025
131,2009-06-25,407.000701,415.900711,406.510711,415.770709,6111700,207.677677,0.479452054795,411.205711,9.39
132,2009-06-24,408.740691,412.23072,406.560702,409.290689,4934000,204.440904,0.476712328767,409.395711,5.670018
133,2009-06-23,406.650699,408.99071,402.550695,405.680706,5820800,202.637715,0.47397260274,405.7707025,6.440015
134,2009-06-22,416.950715,417.490727,401.890698,407.350702,8279600,203.471879,0.471232876712,409.6907125,15.600029
135,2009-06-19,418.210702,420.460716,414.580716,420.090712,8550100,209.83552,0.46301369863,417.520716,5.88
136,2009-06-18,415.680712,418.690706,413.000717,414.060707,6193400,206.82353,0.460273972603,415.8457115,5.689989
137,2009-06-17,416.190704,419.720707,411.560705,415.160703,7006200,207.372978,0.457534246575,415.640706,8.160002
138,2009-06-16,419.310728,421.090724,415.420707,416.000725,6122100,207.79257,0.454794520548,418.2557155,5.670017
139,2009-06-15,421.500734,421.500734,414.000699,416.770722,7501700,208.177184,0.452054794521,417.7507165,7.500035
140,2009-06-12,426.860724,427.700746,421.21071,424.840727,5858600,212.208155,0.443835616438,424.455728,6.490036
141,2009-06-11,431.770731,433.730751,428.37073,429.000739,5751800,214.286083,0.441095890411,431.0507405,5.360021
142,2009-06-10,436.230752,437.890763,426.670745,432.600736,6742900,216.084284,0.438356164384,432.280754,11.220018
143,2009-06-09,438.580749,440.500764,431.760745,435.620746,6534100,217.59278,0.435616438356,436.1307545,8.740019
144,2009-06-08,439.500751,440.920759,434.120758,438.770759,6220500,219.166213,0.432876712329,437.5207585,6.800001
145,2009-06-05,445.070755,447.340771,439.460746,444.32076,7389100,221.938442,0.424657534247,443.4007585,7.880025
146,2009-06-04,435.300734,441.240742,434.500748,440.280765,7303300,219.920462,0.421917808219,437.870745,6.739994
147,2009-06-03,426.000731,432.460747,424.000735,431.650745,7092000,215.609763,0.419178082192,428.230741,8.460012
148,2009-06-02,426.250718,429.960746,423.400716,428.400749,5266800,213.986388,0.416438356164,426.680731,6.56003
149,2009-06-01,418.730711,429.600728,418.530715,426.560745,6669600,213.067305,0.413698630137,424.0657215,11.070013
150,2009-05-29,412.110703,417.230723,410.700711,417.230723,5316100,208.406954,0.405479452055,413.965717,6.530012
151,2009-05-28,408.680714,411.620714,404.610699,410.400701,5357500,204.995355,0.402739726027,408.1157065,7.010015
152,2009-05-27,405.6407,411.860715,404.810695,405.560689,6091200,202.577767,0.4,408.335705,7.05002
153,2009-05-26,391.950669,405.000706,390.000666,404.36068,6232200,201.978362,0.397260273973,397.500686,15.00004
154,2009-05-22,396.660679,398.650688,392.000661,393.50068,3450000,196.553786,0.386301369863,395.3256745,6.650027
155,2009-05-21,396.300692,402.840689,393.840665,396.500688,5459900,198.052292,0.383561643836,398.340677,9.000024
156,2009-05-20,402.090694,405.670689,395.000669,397.180688,4585000,198.391952,0.380821917808,400.335679,10.67002
157,2009-05-19,396.100665,401.64068,393.000674,398.880673,5696100,199.241096,0.378082191781,397.320677,8.640006
158,2009-05-18,394.730678,397.310691,385.400656,396.840673,6728500,198.222114,0.375342465753,391.3556735,11.910035
159,2009-05-15,391.100662,394.110686,389.09068,390.000666,6039900,194.805527,0.367123287671,391.600683,5.020006
160,2009-05-14,388.800657,392.210674,384.690667,387.500664,5895900,193.556775,0.364383561644,388.4506705,7.520007
161,2009-05-13,394.090683,396.390689,388.350672,389.540665,5706800,194.575757,0.361643835616,392.3706805,8.040017
162,2009-05-12,410.010695,410.990705,395.110668,399.010676,7609900,199.306032,0.358904109589,403.0506865,15.880037
163,2009-05-11,402.800683,412.000704,401.200681,407.980711,5137700,203.786569,0.356164383562,406.6006925,10.800023
164,2009-05-08,402.850705,410.130711,395.000669,407.330699,7759100,203.461888,0.347945205479,402.56569,15.130042
165,2009-05-07,404.100706,404.990689,392.500667,396.610688,6021900,198.107237,0.345205479452,398.745678,12.490022
